"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Nov-2020","EQ","335.25","364.10","335.25","338.05","351.00","352.20","353.08","379.00","222.20",915610,"323,280,369.00",25094
"12-Nov-2020","EQ","333.00","343.50","326.60","332.05","337.00","338.05","337.32","379.00","222.20",517305,"174,495,565.00",13198
"11-Nov-2020","EQ","327.70","338.80","323.35","327.85","332.15","332.05","332.08","379.00","222.20",505739,"167,946,942.85",12612
"10-Nov-2020","EQ","339.90","345.90","323.00","334.50","325.25","327.85","332.48","379.00","222.20",721991,"240,045,451.65",19479
"09-Nov-2020","EQ","312.05","342.70","309.15","311.55","336.00","334.50","333.77","379.00","222.20",2120253,"707,675,104.60",44552
"06-Nov-2020","EQ","311.90","317.45","309.05","311.20","310.85","311.55","312.27","379.00","222.20",359419,"112,236,671.85",9646
"05-Nov-2020","EQ","315.20","320.00","304.80","309.70","311.50","311.20","311.01","379.00","222.20",288705,"89,790,449.45",6451
"04-Nov-2020","EQ","299.05","322.80","290.65","298.90","308.50","309.70","311.02","379.00","222.20",768906,"239,143,517.15",20793
"03-Nov-2020","EQ","312.50","328.90","296.50","315.90","297.00","298.90","308.16","379.00","222.20",848752,"261,549,922.65",21871
"02-Nov-2020","EQ","353.65","354.00","314.30","353.35","314.30","315.90","336.32","379.00","222.20",933339,"313,902,595.05",23676
"30-Oct-2020","EQ","327.95","379.00","327.00","325.75","354.00","353.35","358.44","379.00","222.20",4462994,"1,599,724,470.85",96461
"29-Oct-2020","EQ","300.00","329.95","296.95","315.85","325.00","325.75","320.87","335.90","222.20",1977364,"634,485,542.30",44288
"28-Oct-2020","EQ","305.90","335.90","278.85","298.50","310.45","315.85","309.18","335.90","222.20",7045997,"2,178,511,625.45",139521
"27-Oct-2020","EQ","267.00","298.50","267.00","248.75","298.50","298.50","288.57","298.50","222.20",4710027,"1,359,152,344.20",75274
"26-Oct-2020","EQ","241.00","251.20","240.20","240.05","248.00","248.75","245.83","296.70","222.20",320284,"78,734,396.70",8436
"23-Oct-2020","EQ","241.45","242.95","235.60","238.95","239.55","240.05","239.82","296.70","222.20",383393,"91,946,463.25",9461
"22-Oct-2020","EQ","238.50","244.60","233.05","238.95","238.40","238.95","239.39","296.70","222.20",392676,"94,002,826.40",10666
"21-Oct-2020","EQ","222.20","243.80","222.20","224.65","239.90","238.95","238.93","296.70","222.20",1258953,"300,797,081.80",22011
"20-Oct-2020","EQ","235.85","236.85","223.80","235.85","223.95","224.65","228.47","296.70","223.80",297360,"67,939,055.25",10056
"19-Oct-2020","EQ","247.00","248.30","234.30","245.10","235.90","235.85","238.00","296.70","234.30",309611,"73,688,389.75",10637
"16-Oct-2020","EQ","257.10","260.50","243.00","257.25","244.50","245.10","249.70","296.70","243.00",229542,"57,316,799.40",10117
"15-Oct-2020","EQ","263.00","266.15","255.00","261.80","256.00","257.25","261.90","296.70","255.00",215948,"56,557,663.90",6788
"14-Oct-2020","EQ","267.15","269.00","260.60","269.80","262.30","261.80","262.65","296.70","257.00",231804,"60,882,940.60",6282
"13-Oct-2020","EQ","266.35","272.00","263.00","269.45","269.90","269.80","267.76","296.70","257.00",369077,"98,822,277.85",8960
"12-Oct-2020","EQ","275.00","276.90","265.00","274.85","265.90","269.45","271.84","296.70","257.00",440911,"119,858,879.15",16161
"09-Oct-2020","EQ","270.85","276.00","270.00","270.85","275.00","274.85","273.59","296.70","257.00",556877,"152,356,588.70",14608
"08-Oct-2020","EQ","267.05","273.35","264.55","265.55","270.40","270.85","268.35","296.70","257.00",738241,"198,107,730.25",19664
"07-Oct-2020","EQ","262.90","270.00","262.50","266.25","265.50","265.55","265.70","296.70","257.00",820136,"217,912,797.45",21649
"06-Oct-2020","EQ","274.00","274.15","261.55","275.80","266.90","266.25","267.14","296.70","257.00",2721384,"726,984,776.05",55430
"05-Oct-2020","EQ","275.00","296.70","257.00","306.00","274.25","275.80","280.43","296.70","257.00",8546238,"2,396,606,109.15",257439
